0,1,clusters,kmeans,mu_1.5_0,mu_1.5_1,mu_1.5_2,cluster_hard_1.5,mu_1.8_0,mu_1.8_1,mu_1.8_2,cluster_hard_1.8,mu_2.1_0,mu_2.1_1,mu_2.1_2,cluster_hard_2.1,mu_2.4_0,mu_2.4_1,mu_2.4_2,cluster_hard_2.4,mu_2.7_0,mu_2.7_1,mu_2.7_2,cluster_hard_2.7,mu_3.0_0,mu_3.0_1,mu_3.0_2,cluster_hard_3.0
-5.623841790520496,-6.666046428889519,0,0,0.016001893496140413,0.00395627193314149,0.980041834570718,2,0.9043793077469562,0.06644806967303978,0.029172622580003905,0,0.11995427162045952,0.06753686353626262,0.8125088648432778,2,0.1045665025270073,0.7326397544062255,0.1627937430667671,1,0.13545941466380487,0.19522659246021246,0.6693139928759828,2,0.16012174796295214,0.22002735730916068,0.6198508947278871,2
-1.522426316483003,-7.035492046402341,0,0,0.0008537559393731902,4.907663490333232e-05,0.9990971674257234,2,0.9868224310829522,0.011192761151306135,0.001984807765741584,0,0.03565621736404328,0.01039017886510186,0.9539536037708549,2,0.025948398535315484,0.9062041282337262,0.06784747323095823,1,0.045696138699244764,0.10111343016336427,0.853190431137391,2,0.06656391269315858,0.1319729313463993,0.8014631559604422,2
-3.619901227051744,-7.276629103940934,0,0,0.00017262523872761304,2.0640749952212346e-05,0.9998067340113201,2,0.9943984861289429,0.0043773009325830245,0.001224212938474275,0,0.01866650638854034,0.0075739092603549895,0.9737595843511048,2,0.020770268661866792,0.9373749114887255,0.04185481984940756,1,0.03883115876950179,0.0692889423250951,0.8918798989054031,2,0.058930247291727904,0.09722817337584758,0.8438415793324244,2
-3.93070174405768,-6.824349210475653,0,0,0.0005410391699976582,6.142589552914478e-05,0.9993975349344731,2,0.9889782530656357,0.008669300190605328,0.0023524467437588685,0,0.03023863423473813,0.012015913183725973,0.9577454525815359,2,0.029493830152572433,0.910115022053268,0.0603911477941596,1,0.05121480022803307,0.0925973267254546,0.8561878730465122,2,0.07373519754873391,0.12306053945351218,0.8032042629977538,2
-2.1730890063083117,-8.894133459304893,0,0,0.0024336113545715926,0.0003285779168801,0.9972378107285483,2,0.9713472741987744,0.022051821648859736,0.006600904152365978,0,0.05746113623089798,0.024400903579351683,0.9181379601897504,2,0.0493164614209014,0.8546624096166703,0.09602112896242819,1,0.07555486711244293,0.131034821805003,0.793410311082554,2,0.09998668540354314,0.16083534527272839,0.7391779693237284,2
-2.0855437165803297,-6.723737042896782,0,0,0.00011213563712276699,6.389377332176436e-06,0.999881474985545,2,0.9963764696345904,0.003078953869712211,0.0005445764956973651,0,0.014150781930484111,0.004121338444697713,0.9817278796248181,2,0.012920907851098593,0.953295699253366,0.033783392895535294,1,0.026528887261072723,0.05870668433731791,0.9147644284016094,2,0.043062304316798486,0.08542545297387144,0.87151224270933,2
-2.6793055002036748,-6.440877988665832,0,0,2.6382225427497774e-05,1.565805402925383e-06,0.9999720519691695,2,0.9985988513040451,0.001185562080941741,0.00021558661501308785,0,0.007194811879986266,0.002140542394772248,0.9906646457252416,2,0.008000323308068706,0.9714376030905532,0.020562073601378218,1,0.01848559033761705,0.040334184115443525,0.9411802255469396,2,0.032552398303956995,0.06382636532531942,0.9036212363707236,2
-1.1243914404146698,-7.843858374954493,0,0,0.0027776328875944688,0.00020681283926406746,0.9970155542731416,2,0.9716131433196556,0.02351330660135599,0.004873550078988346,0,0.06004061533007748,0.019549594793913105,0.9204097898760094,2,0.04155962094654425,0.8587817377857354,0.09965864126772035,1,0.0658422685816177,0.13561904174709696,0.7985386896712853,2,0.08918188321993326,0.16619225036616062,0.744625866413906,2
-3.525856306048293,-6.568491237562556,0,0,0.00016825416789433855,1.4484449367441744e-05,0.9998172613827383,2,0.9949203511659729,0.004133522689189888,0.0009461261448371643,0,0.017935319626536196,0.006303840811785219,0.9757608395616785,2,0.01820873473769173,0.9407399451181707,0.041051320144137544,1,0.03523846601445251,0.0689907865141538,0.8957707474713937,2,0.05470637334660184,0.097757309340939,0.847536317312459,2
-1.61981177811195,-7.239630910291894,0,0,0.0006339683109268688,4.07332763996523e-05,0.9993252984126735,2,0.9888445933693603,0.009375336217278847,0.0017800704133609092,0,0.031469291665201606,0.009632417173949484,0.9588982911608489,2,0.02451459280688154,0.9138100395184732,0.06167536767464547,1,0.043715038467689135,0.09369720376030082,0.86258775777201,2,0.0642494819809169,0.12394901865558354,0.8118014993634995,2
-2.977260641896254,-7.641046349100862,0,0,7.056313555972751e-05,7.736494564585818e-06,0.9999217003698757,2,0.9967573513671253,0.002564274275894887,0.0006783743569797582,0,0.012648636633525409,0.004924712795151263,0.9824266505713233,2,0.014780974624060295,0.9544398225791418,0.030779202796797845,1,0.02938126197759369,0.05386822816081457,0.9167505098615918,2,0.046665616799520866,0.07878052967832845,0.8745538535221506,2
-4.111316098695417,-4.687189330107088,0,0,0.04644290734352456,0.0020104052801856115,0.9515466873762899,2,0.8608685031047381,0.12088040855840906,0.01825108833685275,0,0.18075122330714635,0.04723555914692948,0.7720132175459242,2,0.07854388293304428,0.6983860559817171,0.2230700610852387,1,0.10676866664109044,0.2529869679070819,0.6402443654518277,2,0.13052950739055139,0.274986810699133,0.5944836819103158,2
-1.6988918972183968,-7.362446856823995,0,0,0.0005287039760468846,3.6442876875441894e-05,0.9994348531470777,2,0.9899105554370679,0.008420144494346086,0.001669300068585904,0,0.02917268336062586,0.009211909279314489,0.9616154073600598,2,0.02370387451044275,0.9180985225698112,0.058197602919746204,1,0.04257857818785428,0.08943886919616588,0.8679825526159798,2,0.06290746723820391,0.11927883125503476,0.8178137015067614,2
