cluster_hard_2.7,mu_2.7_0,mu_2.7_1,_maxu,_second,_margin
1,0.4942090842881548,0.5057909157118452,0.5057909157118452,0.4942090842881548,0.011581831423690403
1,0.4927634710931499,0.5072365289068501,0.5072365289068501,0.4927634710931499,0.01447305781370023
0,0.5074886571246688,0.4925113428753311,0.5074886571246688,0.4925113428753311,0.014977314249337736
0,0.5107460548229887,0.4892539451770112,0.5107460548229887,0.4892539451770112,0.02149210964597753
0,0.5194994961850461,0.4805005038149538,0.5194994961850461,0.4805005038149538,0.0389989923700923
1,0.4783430482109835,0.5216569517890165,0.5216569517890165,0.4783430482109835,0.043313903578033
0,0.5316325377572884,0.4683674622427116,0.5316325377572884,0.4683674622427116,0.06326507551457677
0,0.5378415880358758,0.4621584119641242,0.5378415880358758,0.4621584119641242,0.07568317607175157
0,0.5416894805479968,0.4583105194520031,0.5416894805479968,0.4583105194520031,0.08337896109599374
0,0.5573836050961575,0.4426163949038425,0.5573836050961575,0.4426163949038425,0.11476721019231495
0,0.5600258776275452,0.4399741223724547,0.5600258776275452,0.4399741223724547,0.12005175525509049
0,0.5640279249606083,0.4359720750393918,0.5640279249606083,0.4359720750393918,0.1280558499212165
0,0.5680201387432671,0.4319798612567329,0.5680201387432671,0.4319798612567329,0.1360402774865342
0,0.5716740125974163,0.4283259874025836,0.5716740125974163,0.4283259874025836,0.14334802519483275
0,0.5729615902570835,0.4270384097429165,0.5729615902570835,0.4270384097429165,0.14592318051416697
0,0.5753395754119895,0.4246604245880104,0.5753395754119895,0.4246604245880104,0.15067915082397915
0,0.5797838361839249,0.420216163816075,0.5797838361839249,0.420216163816075,0.1595676723678499
1,0.4200821491903484,0.5799178508096516,0.5799178508096516,0.4200821491903484,0.15983570161930322
0,0.5849310126718674,0.4150689873281326,0.5849310126718674,0.4150689873281326,0.16986202534373485
0,0.5855246280685912,0.4144753719314088,0.5855246280685912,0.4144753719314088,0.17104925613718236
0,0.5864934723988624,0.4135065276011376,0.5864934723988624,0.4135065276011376,0.1729869447977248
0,0.5882241634712809,0.411775836528719,0.5882241634712809,0.411775836528719,0.1764483269425619
0,0.5911906998373028,0.4088093001626972,0.5911906998373028,0.4088093001626972,0.1823813996746056
0,0.5937615397366276,0.4062384602633724,0.5937615397366276,0.4062384602633724,0.1875230794732552
1,0.4048667420713211,0.5951332579286788,0.5951332579286788,0.4048667420713211,0.19026651585735765
0,0.5956301642833309,0.404369835716669,0.5956301642833309,0.404369835716669,0.19126032856666192
1,0.4036025671739932,0.5963974328260069,0.5963974328260069,0.4036025671739932,0.1927948656520137
0,0.5972250520232817,0.4027749479767182,0.5972250520232817,0.4027749479767182,0.1944501040465635
1,0.4021700515337959,0.5978299484662041,0.5978299484662041,0.4021700515337959,0.19565989693240815
0,0.599218258113096,0.4007817418869039,0.599218258113096,0.4007817418869039,0.19843651622619213
