cluster_hard_2.1,mu_2.1_0,mu_2.1_1,_maxu,_second,_margin
0,0.5134328355645356,0.4865671644354644,0.5134328355645356,0.4865671644354644,0.026865671129071178
1,0.4832189982046014,0.5167810017953985,0.5167810017953985,0.4832189982046014,0.03356200359079714
1,0.4806299370830341,0.5193700629169659,0.5193700629169659,0.4806299370830341,0.03874012583393177
1,0.4628767340866517,0.5371232659133482,0.5371232659133482,0.4628767340866517,0.07424653182669655
1,0.4527347422284227,0.5472652577715773,0.5472652577715773,0.4527347422284227,0.09453051554315461
1,0.448798676721707,0.551201323278293,0.551201323278293,0.448798676721707,0.10240264655658599
1,0.4313089593754963,0.5686910406245037,0.5686910406245037,0.4313089593754963,0.13738208124900742
1,0.4201022566815449,0.579897743318455,0.579897743318455,0.4201022566815449,0.15979548663691012
1,0.4141925841616507,0.5858074158383493,0.5858074158383493,0.4141925841616507,0.17161483167669855
0,0.5925609694372602,0.4074390305627398,0.5925609694372602,0.4074390305627398,0.18512193887452044
