0,1,clusters,kmeans,mu_1.5_0,mu_1.5_1,cluster_hard_1.5,mu_1.8_0,mu_1.8_1,cluster_hard_1.8,mu_2.1_0,mu_2.1_1,cluster_hard_2.1,mu_2.4_0,mu_2.4_1,cluster_hard_2.4,mu_2.7_0,mu_2.7_1,cluster_hard_2.7,mu_3.0_0,mu_3.0_1,cluster_hard_3.0
-2.6849898227453486,-9.138358985090006,0,1,0.029435821754843248,0.9705641782451567,1,0.1048111537945602,0.8951888462054397,1,0.8209952774009845,0.17900472259901534,0,0.2368488385920489,0.763151161407951,1,0.720192792735743,0.279807207264257,0,0.3118754830698355,0.6881245169301645,1
-3.9562379863394006,-6.693073059117156,0,1,0.022110007795826413,0.9778899922041736,1,0.08916242567976304,0.910837574320237,1,0.8387672154895784,0.16123278451042164,0,0.2199483299422495,0.7800516700577504,1,0.7354333924704781,0.2645666075295219,0,0.29830263818584085,0.7016973618141591,1
-4.007968245981333,-7.7789386029007135,0,1,0.02683311584380881,0.9731668841561911,1,0.09948672667095852,0.9005132733290416,1,0.8269225074766866,0.1730774925233134,0,0.23126802145433148,0.7687319785456685,1,0.7251990939917374,0.27480090600826257,0,0.3074304318921304,0.6925695681078695,1
-4.503996029312996,-7.043712693932483,0,1,0.02564799205084607,0.9743520079491539,1,0.09696502962533082,0.9030349703746692,1,0.829797038207418,0.17020296179258199,0,0.22851832407171882,0.7714816759282812,1,0.7276929686754537,0.27230703132454626,0,0.30519869307552244,0.6948013069244775,1
-3.2336864348624754,-7.278281083146831,0,1,0.02195933596884737,0.9780406640311525,1,0.08883668370647546,0.9111633162935245,1,0.8391175712295296,0.1608824287704705,0,0.21963964839782968,0.7803603516021703,1,0.7356909936944137,0.26430900630558635,0,0.2980885219187228,0.7019114780812773,1
-4.463434122026149,-6.544661989969247,0,1,0.02356179048684301,0.976438209513157,1,0.09241580597370674,0.9075841940262932,1,0.8350145533710989,0.1649854466289012,0,0.22352972844313,0.77647027155687,1,0.7322061993872508,0.2677938006127491,0,0.30117090110483097,0.698829098895169,1
-1.8430887694860332,-6.830557139195301,0,1,0.01620323301223374,0.9837967669877662,1,0.07473263862307723,0.9252673613769228,1,0.8561323761270964,0.14386762387290364,0,0.20298895247789028,0.7970110475221097,1,0.7509236640201333,0.24907633597986667,0,0.2844177702261626,0.7155822297738373,1
-3.7364234481477623,-9.253605502839626,0,1,0.0331368538987168,0.9668631461012832,1,0.11201559427970909,0.8879844057202909,1,0.8131505229160497,0.18684947708395025,0,0.24415148324218103,0.755848516757819,1,0.7136848765160115,0.2863151234839885,0,0.3176307270495514,0.6823692729504486,1
-2.3844673088829342,-7.971224076141202,0,1,0.02264893017773392,0.977351069822266,1,0.09040831084588932,0.9095916891541107,1,0.8372805266219826,0.1627194733780175,0,0.22141270212411784,0.7785872978758822,1,0.7340784209784268,0.26592157902157315,0,0.2995320219626432,0.7004679780373567,1
-1.4325712905595918,-7.930551134580276,0,1,0.020299555728837952,0.9797004442711621,1,0.08495160198124814,0.9150483980187519,1,0.8437174201201528,0.15628257987984726,0,0.21517483429716877,0.7848251657028312,1,0.7397603168253566,0.26023968317464335,0,0.29444246014773723,0.7055575398522629,1
