cluster_hard_2.4,mu_2.4_0,mu_2.4_1,mu_2.4_2,mu_2.4_3,_maxu,_second,_margin
3,0.2765253673581886,0.2198491403844793,0.2027189013180042,0.3009065909393278,0.3009065909393278,0.2765253673581886,0.0243812235811392
3,0.2983070479185528,0.1854123712527102,0.162167752615319,0.3541128282134178,0.3541128282134178,0.2983070479185528,0.05580578029486499
3,0.2584135679542625,0.2056221434056919,0.1653417471282085,0.3706225415118369,0.3706225415118369,0.2584135679542625,0.11220897355757437
3,0.2421136280213372,0.2164794792918595,0.1660363440992613,0.3753705485875419,0.3753705485875419,0.2421136280213372,0.13325692056620467
3,0.3088247378458735,0.1625603861633857,0.1394685828451542,0.3891462931455866,0.3891462931455866,0.3088247378458735,0.08032155529971308
2,0.1140260885774621,0.3742714762363353,0.3954946284393568,0.1162078067468457,0.3954946284393568,0.3742714762363353,0.02122315220302151
3,0.2490526012282059,0.1952373075733681,0.1510524713174181,0.4046576198810078,0.4046576198810078,0.2490526012282059,0.15560501865280188
3,0.2499863193456473,0.1905704495882254,0.1480736242425119,0.4113696068236153,0.4113696068236153,0.2499863193456473,0.16138328747796798
0,0.4309687353989703,0.1533606334160799,0.1811636737770253,0.2345069574079243,0.4309687353989703,0.2345069574079243,0.196461777991046
3,0.2748599348008273,0.1627621212550656,0.1311085065742305,0.4312694373698766,0.4312694373698766,0.2748599348008273,0.15640950256904929
3,0.237852209289601,0.1851318906750992,0.1394220035837531,0.4375938964515466,0.4375938964515466,0.237852209289601,0.19974168716194562
0,0.4405599873691369,0.1500666337576198,0.179854436204844,0.2295189426683992,0.4405599873691369,0.2295189426683992,0.21104104470073767
3,0.270421531763603,0.1473755680767771,0.1177006131399873,0.4645022870196324,0.4645022870196324,0.270421531763603,0.1940807552560294
1,0.1036659567097303,0.4654266823943742,0.3198306515626486,0.1110767093332468,0.4654266823943742,0.3198306515626486,0.14559603083172556
3,0.2487395777419796,0.1610675591817282,0.1247460395847629,0.4654468234915292,0.4654468234915292,0.2487395777419796,0.2167072457495496
3,0.2085774614582552,0.1838628182854102,0.1277060582717003,0.4798536619846342,0.4798536619846342,0.2085774614582552,0.271276200526379
0,0.4898302516311453,0.133518421003744,0.1626154351722787,0.214035892192832,0.4898302516311453,0.214035892192832,0.2757943594383133
