ALL_Uniq,Name_USGSO,IslandArea,Population,Population_density,evi,wind_power,wind_std,offshore_wind_potential,gdp_2019,ec_2019,geothermal_potential,hydro_potential,mean_temperature,solar_power,solar_seas_ind,urban_area,urban_area_rel,res_area,ec_labels,cluster
87884,Canchimalero,22.8083031534,3654,160.2048155632,3972.8904182342976,15.702017726351968,0.515124516614127,0.0,5.063416481018066,255571.609375,0.0,211991.0,25.941528434539407,3.727749824523926,1.1789261102676392,0.2823483512950772,1.2376626962863475,52.013813497940994,XS,1
87889,Sanquiamba,46.5584215134,234,5.025943586439079,3610.7322900329655,36.86382394373759,0.5879909057865711,0.0,9.970328330993652,978660.25,0.0,0.0,26.234551747639955,3.5742411613464355,1.2502228021621704,0.0,0.0,23.74043341885412,XS,3
87891,Mulato,31.1130060569,428,13.756304974751274,3655.2211775651895,35.68735012318914,0.5593156854467947,0.0,6.744634628295898,671916.0625,0.0,0.0,26.211966105892827,3.6013271808624268,1.2498620748519895,0.0,0.0,5.781701247943007,XS,3
87949,Ilha São Domingos,198.919615701,1524,7.661386206832184,5134.491066417762,4.45454044518996,0.5089731239169871,0.0,30.611839294433597,5292873.0,0.0,4673456.0,27.45457314158142,4.290130138397217,1.383556842803955,0.0,0.0,1.498010984225424,S,1
87952,Ilha Buiuçu,148.985679889,9526,63.9390309665817,5221.246635554042,4.138565557959819,0.5268390084274849,0.0,133.0867462158203,21172306.0,0.0,1770390.0,27.45999111545888,4.289941310882568,1.381933093070984,0.4460860233543834,0.3005542951413051,61.32052248248465,M,1
87954,Ilha Santarém,43.0653553634,1658,38.49962425734645,5305.591653808823,7.206286548574157,0.6180713420871364,0.0,7.745164394378662,1339160.5,0.0,289953.0,27.463478724161803,4.51971435546875,1.3868876695632937,0.0,0.0,17.433926714231553,XS,1
87955,Ilha Sirituba,217.025451953,12131,55.8966696801403,5335.735677846134,18.227029852096734,0.5550328980250512,0.0,35.04350280761719,6059119.0,0.0,2251313.0,27.344583343021498,4.415813446044922,1.3466302156448364,0.0,0.0,17.302066132439524,S,1
87957,Ilha de Palhêta,117.67902839,3967,33.71033950801299,4934.656495672837,15.68916209522934,0.5837481484330117,0.0,21.932418823242188,3784853.0,0.0,1929819.0,27.54435500323933,4.4370880126953125,1.391250729560852,0.0356459979787093,0.0304382130909663,16.346995374952776,S,1
87961,Ilha do Comandaí,256.640580258,620,2.4158299493272493,4674.927026687248,6.853757190066145,0.4746530036139589,0.0,37.988189697265625,6568263.5,48.0,3595973.0,27.349265009981707,4.408220291137695,1.343549132347107,0.0,0.0,49.85959682656454,S,1
87963,Ilha de Santana,47.7322268776,1537,32.20046707523907,5384.132016663334,21.592071273111028,0.5423691526305129,0.0,8.236921310424805,1424186.625,0.0,2254817.0,27.38960237243089,4.524807453155518,1.402251124382019,0.0,0.0,88.14347729729894,XS,1
87964,Ilha Grande de Taiaçuí,58.1613350814,201,3.4559041624249067,4595.876262332762,5.392930812268795,0.5235982958093122,0.0,10.449825286865234,1806803.875,0.0,530853.0,27.502364375558106,4.242980003356934,1.3731627464294434,0.0,0.0,25.80736313896117,XS,1
87965,Ilha dos Macacos,886.213964026,6616,7.4654657549561,5088.351014410136,4.974365307579066,0.5937727470532091,0.0,126.91160583496094,21943374.0,0.0,25384677.0,27.403493407204223,4.174972534179688,1.406076192855835,0.0,0.0,72.95062941714578,M,1
87969,Ilha Tapuia,155.5285613,1059,6.809038745991409,5048.185007818608,4.848339580038677,0.5759950702789521,0.0,23.72724914550781,4102507.75,121.0,6040003.0,27.408501428615352,4.140655040740967,1.4534592628479004,0.0,0.0,1.0786139512099573,S,1
87971,Ilha Ituquara,270.230772931,1743,6.450042610228751,4984.0657606923005,4.781982922961694,0.5243781484072557,0.0,39.70933532714844,6865855.0,0.0,10562789.0,27.45636853551713,4.159219741821289,1.4467600584030151,0.0,0.0,18.62121889849657,S,1
87972,Ilha Urutaí,308.61288495,1653,5.356224838984967,5091.98591800519,4.760426700918923,0.5182978611809687,0.0,46.71686553955078,8077476.5,30.0,9664891.0,27.543443787369085,4.253332614898682,1.42512309551239,0.0,0.0,0.0,S,1
87974,Ilha Aranaí,126.643185614,819,6.46698830283895,4833.050796148616,5.422079294966276,0.5143952090779333,0.0,21.391407012939453,3698634.0,0.0,609694.0,27.44944778947917,4.157517910003662,1.4506233930587769,0.0,0.0,43.88510215210476,S,1
87975,Ilha Japichaua,629.71039367,3636,5.774082874524456,5074.705865640277,5.649153145929063,0.5670606838025976,0.0,89.49967956542969,15474744.0,0.0,16255888.0,27.41012961892767,4.080220699310303,1.4673503637313845,0.0,0.0,0.880755351450247,M,1
87976,Ilha Santa Cruz,82.4424433605,620,7.520398167833242,4860.975550367064,7.2906711030766465,0.5538465147140155,0.0,13.277424812316896,2295703.75,0.0,11524652.0,27.495939254760746,4.047244071960449,1.5012869834899902,0.0,0.0,1.7663716547545745,S,1
87979,Ilha do Mututi,501.339388585,3189,6.36096040448918,5132.137737250131,5.891091696428702,0.5108316140637806,0.0,69.95236206054688,12094958.0,0.0,12624016.0,27.473934023737684,4.115969181060791,1.4642211198806765,0.0,0.0,16.84478575347855,S,1
87980,Ilha Capinal,134.844046333,961,7.126751429772375,4838.991939216645,7.298600812094902,0.534724396206488,0.0,20.530834197998047,3549838.25,0.0,2458051.0,27.487649097342057,4.016452312469482,1.4815611839294434,0.0,0.0,2.0369808464857564,S,1
