cluster_hard_3.0,mu_3.0_0,mu_3.0_1,mu_3.0_2,mu_3.0_3,_maxu,_second,_margin
0,0.2732883267661843,0.2713677714560646,0.1875261531945962,0.2678177485831548,0.2732883267661843,0.2713677714560646,0.0019205553101196982
3,0.2702608225302647,0.268415475437724,0.1836921876793401,0.2776315143526711,0.2776315143526711,0.2702608225302647,0.0073706918224064055
1,0.2586425580511549,0.2980388912071421,0.1872037941778472,0.2561147565638557,0.2980388912071421,0.2586425580511549,0.03939633315598723
3,0.2559798732829351,0.2003521342730908,0.2449673781518192,0.2987006142921548,0.2987006142921548,0.2559798732829351,0.04272074100921969
1,0.2583266112230973,0.2993779673937544,0.1878756026694862,0.2544198187136621,0.2993779673937544,0.2583266112230973,0.04105135617065708
1,0.2548903982549003,0.2998196885410235,0.1919531479523168,0.2533367652517593,0.2998196885410235,0.2548903982549003,0.04492929028612319
1,0.2566417214457517,0.3003982924797198,0.1872602423158247,0.2556997437587036,0.3003982924797198,0.2566417214457517,0.04375657103396807
1,0.242192546390467,0.301489301310334,0.1839556751055114,0.2723624771936874,0.301489301310334,0.2723624771936874,0.029126824116646632
1,0.2530480716604152,0.3076541323618277,0.1882586451354788,0.2510391508422783,0.3076541323618277,0.2530480716604152,0.054606060701412495
1,0.2529951250621782,0.3082432519845203,0.1866845687704482,0.2520770541828531,0.3082432519845203,0.2529951250621782,0.0552481269223421
3,0.2864738392541949,0.1710631786017743,0.2155376458577239,0.3269253362863067,0.3269253362863067,0.2864738392541949,0.040451497032111816
1,0.2398534281368941,0.3272610687280215,0.1841469115656808,0.2487385915694036,0.3272610687280215,0.2487385915694036,0.07852247715861793
2,0.214345730405392,0.1800446915268268,0.3308206959756016,0.2747888820921795,0.3308206959756016,0.2747888820921795,0.0560318138834221
1,0.2256799879088196,0.3325705441910139,0.1824864454489508,0.2592630224512156,0.3325705441910139,0.2592630224512156,0.07330752173979832
2,0.2107341348488807,0.1787445746724994,0.3356585464943857,0.2748627439842339,0.3356585464943857,0.2748627439842339,0.06079580251015182
1,0.236074941890399,0.3362359065020266,0.1881710072652186,0.2395181443423557,0.3362359065020266,0.2395181443423557,0.09671776215967093
3,0.2766403305560667,0.1664307237719071,0.2206481631202327,0.3362807825517934,0.3362807825517934,0.2766403305560667,0.059640451995726707
1,0.2349345303125811,0.337347945885128,0.1888653569741816,0.2388521668281092,0.337347945885128,0.2388521668281092,0.09849577905701881
3,0.2619230656387858,0.1595469582056098,0.2381955890608915,0.3403343870947127,0.3403343870947127,0.2619230656387858,0.07841132145592689
1,0.2231133138866592,0.3447146117278779,0.1885341784748436,0.243637895910619,0.3447146117278779,0.243637895910619,0.10107671581725888
3,0.3288687080883435,0.0980718174154526,0.2219355375440099,0.3511239369521939,0.3511239369521939,0.3288687080883435,0.022255228863850396
3,0.326829979670614,0.0962499429605042,0.2244916257718671,0.3524284515970146,0.3524284515970146,0.326829979670614,0.02559847192640058
3,0.2843588369555688,0.1525293523272868,0.2091752706827576,0.3539365400343867,0.3539365400343867,0.2843588369555688,0.06957770307881789
3,0.3320531758705794,0.0953237876954207,0.2178083129961854,0.3548147234378143,0.3548147234378143,0.3320531758705794,0.022761547567234863
3,0.3514866892082841,0.1237237884938071,0.1699102997941176,0.3548792225037911,0.3548792225037911,0.3514866892082841,0.0033925332955070386
1,0.2250370136632697,0.3581981188072034,0.1840874722566285,0.2326773952728982,0.3581981188072034,0.2326773952728982,0.1255207235343052
3,0.3174283985726923,0.1368655777992978,0.1853237297050846,0.3603822939229252,0.3603822939229252,0.3174283985726923,0.04295389535023292
3,0.3284548337569462,0.1212571824664451,0.1891746844805849,0.3611132992960237,0.3611132992960237,0.3284548337569462,0.03265846553907753
2,0.2012073337692148,0.1671424602768358,0.3617340073152809,0.2699161986386684,0.3617340073152809,0.2699161986386684,0.09181780867661249
2,0.2017355521691052,0.1655248422206117,0.3655438204052378,0.2671957852050452,0.3655438204052378,0.2671957852050452,0.09834803520019259
